edad,fecha_nacimiento,jugador
43 años,8 de mayo de 1979,gennaro sardo
44 años,9 de mayo de 1978,massimo paci
43 años,15 de abril de 1979,jeda
38 años,21 de septiembre de 1984,rinaldo cruzado
42 años,3 de febrero de 1980,davide moscardelli
33 años,6 de noviembre de 1989,andrea mazzarani
36 años,12 de octubre de 1986,christian stuani
68 años,19 de abril de 1954,francis
39 años,11 de noviembre de 1983,arouna kone
46 años,13 de diciembre de 1975,javi venta
41 años,30 de septiembre de 1981,oscar serrano
37 años,13 de febrero de 1985,alexandros tziolis
32 años,27 de enero de 1990,rasmus jonsson
41 años,14 de marzo de 1981,jan polak
31 años,7 de diciembre de 1991,chris
35 años,18 de septiembre de 1987,marwin hitz
38 años,19 de agosto de 1984,alessandro matri
35 años,9 de julio de 1987,matteo rubin
48 años,9 de noviembre de 1974,alessandro del piero
37 años,15 de julio de 1985,graziano pelle
38 años,14 de agosto de 1984,giorgio chiellini
36 años,15 de febrero de 1986,gabriel paletta
40 años,16 de febrero de 1982,francesco modesto
45 años,22 de julio de 1977,alessandro lucarelli
39 años,30 de agosto de 1983,simone pepe
38 años,16 de enero de 1984,stephan lichtsteiner
42 años,29 de octubre de 1980,francesco valiani
36 años,17 de septiembre de 1986,paolo de ceglie
43 años,19 de mayo de 1979,andrea pirlo
37 años,15 de mayo de 1985,daniele galloppa
36 años,19 de enero de 1986,claudio marchisio
35 años,26 de enero de 1987,sebastian giovinco
40 años,21 de diciembre de 1981,cristian zaccardo
44 años,26 de octubre de 1978,stefano morrone
34 años,28 de abril de 1988,jonathan biabiany
41 años,12 de noviembre de 1981,sergio floccari
39 años,1 de octubre de 1983,mirko vucinic
35 años,22 de mayo de 1987,arturo vidal
35 años,29 de octubre de 1987,ze eduardo
41 años,8 de mayo de 1981,andrea barzagli
38 años,1 de noviembre de 1984,milos krasic
37 años,5 de mayo de 1985,emanuele giaccherini
40 años,22 de abril de 1982,jorge molina
33 años,1 de septiembre de 1989,jefferson montero
41 años,27 de junio de 1981,ruben castro
38 años,25 de octubre de 1984,iva¡n ramis
38 años,18 de marzo de 1984,salva sevilla
39 años,31 de mayo de 1983,antonio amaya
24 años,17 de julio de 1998,joa£o victor
40 años,10 de julio de 1982,chechu dorado
43 años,24 de septiembre de 1979,benat
41 años,23 de abril de 1981,iriney
32 años,12 de enero de 1990,nacho
37 años,17 de mayo de 1985,javi chica
34 años,1 de junio de 1988,joao vitor
35 años,12 de mayo de 1987,jonathan pereira
41 años,16 de agosto de 1981,roque santa cruz
31 años,28 de junio de 1991,kevin
38 años,18 de agosto de 1984,dusan basta
40 años,5 de enero de 1982,giovanni pasquale
38 años,11 de mayo de 1984,christian obodo
33 años,4 de febrero de 1989,joel ekstrand
46 años,6 de enero de 1976,david di michele
38 años,9 de octubre de 1984,djamel mesbah
45 años,21 de noviembre de 1977,guillermo giacomazzi
38 años,22 de noviembre de 1984,daniele corvia
33 años,22 de noviembre de 1989,gabriel torje
45 años,13 de octubre de 1977,antonio di natale
42 años,28 de junio de 1980,maurizio domizzi
34 años,26 de mayo de 1988,juan guillermo cuadrado
38 años,14 de julio de 1984,samir handanovic
31 años,10 de octubre de 1991,manuel giandonato
41 años,11 de marzo de 1981,giampiero pinzi
31 años,15 de julio de 1991,danilo
37 años,28 de marzo de 1985,stefano ferrario
36 años,17 de mayo de 1986,andrea esposito
35 años,30 de agosto de 1987,nenad tomovic
32 años,2 de diciembre de 1990,emmanuel agyemangbadu
34 años,9 de diciembre de 1988,kwadwo asamoah
44 años,8 de noviembre de 1978,julio sergio
36 años,28 de marzo de 1986,edward ofere
31 años,11 de enero de 1991,andrea bertolacci
36 años,21 de octubre de 1986,almen abdi
37 años,12 de julio de 1985,paulo barreto
36 años,2 de junio de 1986,franck dja djedje
36 años,4 de febrero de 1986,geoffrey jourdren
36 años,25 de julio de 1986,guie gneki abraham
35 años,22 de abril de 1987,david mateos
40 años,2 de agosto de 1982,helder postiga
36 años,19 de agosto de 1986,ruben micael
NA,NA,tito
45 años,19 de octubre de 1977,raul tamudo
NA,NA,juan carlos
41 años,24 de abril de 1981,andrija delibasic
37 años,18 de septiembre de 1985,braulio
37 años,28 de mayo de 1985,pablo andres gonzalez
41 años,10 de agosto de 1981,ciro capuano
39 años,24 de marzo de 1983,cristiano del grosso
38 años,8 de marzo de 1984,alessandro potenza
39 años,20 de febrero de 1983,nicolas spolli
40 años,8 de enero de 1982,emanuele calaio
38 años,3 de abril de 1984,maxi lopez
40 años,3 de junio de 1982,gaetano dagostino
35 años,9 de febrero de 1987,davide lanzafame
39 años,25 de octubre de 1983,daniele mannini
44 años,30 de junio de 1978,adrian ricchiuti
39 años,28 de enero de 1983,alessandro gazzi
34 años,15 de febrero de 1988,alejandro gomez
39 años,30 de julio de 1983,mariano andujar
37 años,20 de septiembre de 1985,sergio almiron
37 años,9 de mayo de 1985,luca rossettini
33 años,21 de agosto de 1989,giuseppe bellusci
38 años,19 de abril de 1984,marco biagianti
NA,NA,sergio almira³n
NA,NA,angelo
34 años,26 de mayo de 1988,andrea catellani
44 años,30 de junio de 1978,adria¡n ricchiuti
46 años,24 de enero de 1976,simone vergassola
33 años,16 de mayo de 1989,fabio sciacca
39 años,8 de mayo de 1983,roberto vitiello
38 años,19 de junio de 1984,claudio terzi
33 años,7 de mayo de 1989,francesco bolzoni
43 años,19 de marzo de 1979,franco brienza
36 años,29 de abril de 1986,francesco pisano
35 años,17 de mayo de 1987,aleandro rosi
34 años,4 de mayo de 1988,radja nainggolan
46 años,27 de septiembre de 1976,francesco totti
43 años,9 de enero de 1979,daniele conti
41 años,12 de abril de 1981,nicolas burdisso
36 años,24 de febrero de 1986,thiago ribeiro
33 años,5 de septiembre de 1989,jose angel
44 años,19 de abril de 1978,gabriel heinze
43 años,23 de julio de 1979,alessandro agostini
32 años,28 de agosto de 1990,bojan
42 años,3 de mayo de 1980,andrea cossu
36 años,12 de enero de 1986,pablo osvaldo
39 años,24 de enero de 1983,davide biondini
31 años,1987–2018,davide astori
40 años,22 de septiembre de 1982,maarten stekelenburg
37 años,5 de junio de 1985,michele canini
32 años,19 de mayo de 1990,victor ibarbo
45 años,17 de septiembre de 1977,simone perrotta
40 años,18 de junio de 1982,marco borriello
38 años,3 de julio de 1984,michael agazzi
39 años,24 de julio de 1983,daniele de rossi
36 años,10 de abril de 1986,fernando gago
31 años,29 de marzo de 1991,fabio borini
34 años,5 de octubre de 1988,moestafa el kabir
35 años,29 de mayo de 1987,rui sampaio
36 años,15 de septiembre de 1986,alexander stephan
30 años,26 de enero de 1992,marvin plattenhardt
46 años,28 de octubre de 1976,simone loria
38 años,24 de junio de 1984,andrea raggi
40 años,5 de julio de 1982,alberto gilardino
NA,NA,jeanfrana§ois gillet
39 años,2 de mayo de 1983,alessandro diamanti
37 años,18 de enero de 1985,riccardo montolivo
39 años,26 de agosto de 1983,mattia cassani
35 años,26 de julio de 1987,panagiotis kone
43 años,17 de diciembre de 1978,daniele portanova
43 años,5 de abril de 1979,cesare natali
46 años,15 de julio de 1976,marco di vaio
33 años,2 de noviembre de 1989,stevan jovetic
42 años,18 de mayo de 1980,diego perez
32 años,21 de mayo de 1990,rene krhin
41 años,1 de octubre de 1981,gaby mudingayi
37 años,19 de abril de 1985,valon behrami
38 años,3 de diciembre de 1984,andrea lazzari
38 años,13 de febrero de 1984,nico pulzetti
40 años,13 de marzo de 1982,manuel pasqual
35 años,23 de julio de 1987,alessio cerci
34 años,16 de abril de 1988,daniele paponi
39 años,26 de septiembre de 1983,archimede morleo
40 años,9 de noviembre de 1982,houssine kharja
42 años,9 de diciembre de 1980,santiago silva
35 años,11 de septiembre de 1987,robert acquafresca
29 años,28 de marzo de 1993,matija nastasic
42 años,2 de noviembre de 1980,diego lugano
34 años,26 de septiembre de 1988,tomas micola
NA,NA,ceara¡
36 años,10 de noviembre de 1986,beg ferati
33 años,12 de abril de 1989,timo gebhart
42 años,27 de junio de 1980,duda
41 años,1 de octubre de 1981,julio baptista
36 años,24 de julio de 1986,fernando tissone
32 años,9 de julio de 1990,aki
35 años,8 de diciembre de 1987,michael pereira
39 años,13 de abril de 1983,claudio bravo
NA,NA,ia±igo marta­nez
41 años,11 de febrero de 1981,aritz aduriz
38 años,13 de julio de 1984,carmelo
42 años,14 de julio de 1980,mody traore
39 años,29 de noviembre de 1983,albert bunjaku
40 años,10 de septiembre de 1982,naldo
34 años,16 de febrero de 1988,andrea ranocchia
43 años,11 de septiembre de 1979,david pizarro
42 años,6 de marzo de 1980,rodrigo taddei
NA,NA,julio ca©sar
43 años,19 de mayo de 1979,diego forla¡n
41 años,26 de enero de 1981,andrea lisuzzo
42 años,5 de enero de 1980,marco rigoni
34 años,5 de julio de 1988,samir ujkani
34 años,29 de agosto de 1988,ivan radovanovic
38 años,20 de agosto de 1984,joaquin larrivey
36 años,26 de octubre de 1986,ruben
35 años,4 de mayo de 1987,cesc fabregas
34 años,27 de abril de 1988,damia
44 años,13 de abril de 1978,carles puyol
34 años,27 de abril de 1988,damia¡
NA,NA,ruba©n
23 años,25 de mayo de 1999,ibrahima
41 años,27 de agosto de 1981,maxwell
41 años,8 de noviembre de 1981,joe cole
NA,NA,sa©bastien roudet
31 años,11 de abril de 1991,cedric bakambu
42 años,25 de diciembre de 1979,laurent bonnart
41 años,9 de abril de 1981,ireneusz jelen
35 años,20 de abril de 1987,ammar jemal
32 años,8 de abril de 1990,karim bellarabi
33 años,8 de septiembre de 1989,gylfi sigurdsson
32 años,21 de junio de 1990,knowledge musona
36 años,5 de julio de 1986,ashkan dejagah
32 años,3 de marzo de 1990,emmanuel riviere
28 años,5 de enero de 1994,abdoulaye keita
35 años,30 de noviembre de 1987,max gradel
28 años,27 de octubre de 1994,kurt zouma
NA,NA,paula£o
31 años,26 de abril de 1991,benjamin lecomte
31 años,30 de marzo de 1991,gilles sunu
30 años,17 de marzo de 1992,pierrick cros
31 años,12 de febrero de 1991,patrick herrmann
36 años,17 de agosto de 1986,marcus berg
40 años,30 de abril de 1982,mario licka
36 años,6 de octubre de 1986,richard soumah
32 años,14 de octubre de 1990,anthony ujah
36 años,29 de enero de 1986,daniel brinkmann
28 años,24 de marzo de 1994,lenny nangis
39 años,4 de mayo de 1983,carlos grossmuller
33 años,20 de julio de 1989,cristian pasquato
37 años,4 de febrero de 1985,ignacio piatti
NA,NA,carlos grossma¼ller
33 años,7 de septiembre de 1989,federico casarini
32 años,30 de marzo de 1990,rodney strasser
32 años,2 de diciembre de 1990,gaston ramirez
42 años,1 de agosto de 1980,sylvain armand
36 años,9 de agosto de 1986,nicolas farina
NA,NA,juan daniel forla­n
33 años,30 de noviembre de 1989,vladimir weiss
34 años,10 de enero de 1988,juan daniel forlin
42 años,22 de noviembre de 1980,peer kluge
32 años,29 de marzo de 1990,teemu pukki
35 años,17 de abril de 1987,mehdi benatia
41 años,27 de agosto de 1981,alessandro gamberini
34 años,12 de junio de 1988,mauricio isla
36 años,2 de noviembre de 1986,pablo armero
39 años,5 de octubre de 1983,juan vargas
39 años,24 de junio de 1983,gianni munari
36 años,17 de mayo de 1986,bojan jokic
38 años,6 de marzo de 1984,nicolas frey
32 años,4 de enero de 1990,alberto paloschi
36 años,10 de junio de 1986,marco andreolli
43 años,13 de julio de 1979,cata da­az
36 años,24 de noviembre de 1986,pedro leon
33 años,26 de abril de 1989,ruben perez
NA,NA,ruba©n pa©rez
37 años,17 de julio de 1985,henning hauger
32 años,12 de junio de 1990,artur sobiech
33 años,23 de mayo de 1989,ezequiel schelotto
38 años,18 de marzo de 1984,simone padoin
41 años,10 de septiembre de 1981,german denis
38 años,20 de enero de 1984,federico peluso
35 años,27 de febrero de 1987,maximiliano moralez
33 años,22 de agosto de 1989,giacomo bonaventura
42 años,2 de octubre de 1980,stefano lucchini
36 años,5 de febrero de 1986,andrea masiello
35 años,25 de julio de 1987,eran zahavi
42 años,27 de mayo de 1980,thomas manfredini
41 años,10 de septiembre de 1981,germa¡n denis
41 años,14 de febrero de 1981,matteo brighi
35 años,27 de enero de 1987,andrea consigli
31 años,26 de noviembre de 1991,manolo gabbiadini
41 años,23 de marzo de 1981,giuseppe sculli
35 años,11 de febrero de 1987,luca antonelli
35 años,10 de mayo de 1987,kevin constant
40 años,25 de mayo de 1982,giandomenico mesto
36 años,18 de enero de 1986,senad lulic
40 años,5 de febrero de 1982,rodrigo palacio
41 años,18 de septiembre de 1981,andrea caracciolo
36 años,11 de mayo de 1986,miguel veloso
35 años,23 de julio de 1987,felipe seymour
43 años,9 de junio de 1979,dario dainelli
NA,NA,francesco matuzalem
35 años,26 de febrero de 1987,juraj kucka
44 años,27 de febrero de 1978,kakha kaladze
37 años,16 de abril de 1985,andreas granqvist
34 años,4 de agosto de 1988,cristobal jorquera
42 años,18 de marzo de 1980,sebastien frey
35 años,2 de marzo de 1987,mobido diakite
41 años,15 de julio de 1981,marius stankevicius
36 años,10 de octubre de 1986,ezequiel
30 años,3 de junio de 1992,mario
28 años,18 de octubre de 1994,casto
33 años,9 de octubre de 1989,david lopez
33 años,19 de julio de 1989,igor martinez
45 años,28 de noviembre de 1977,fabio grosso
36 años,9 de julio de 1986,zeljko brkic
41 años,29 de mayo de 1981,paolo grossi
34 años,16 de agosto de 1988,marcelo larrondo
35 años,1 de mayo de 1987,leonardo bonucci
30 años,27 de marzo de 1992,julian luque
54 años,7 de junio de 1968,pizzi
35 años,4 de abril de 1987,sami khedira
44 años,27 de enero de 1978,gustavo munua
36 años,5 de septiembre de 1986,miguel pallardo
37 años,17 de enero de 1985,pablo barrientos
38 años,23 de marzo de 1984,francesco lodi
38 años,17 de abril de 1984,pablo alvarez
58 años,9 de septiembre de 1964,marco rossi
33 años,12 de diciembre de 1988,nicola ravaglia
44 años,25 de marzo de 1978,gennaro delvecchio
38 años,5 de diciembre de 1984,abdelkader ghezzal
39 años,20 de febrero de 1983,nicola¡s spolli
36 años,28 de abril de 1986,guillherme siqueira
40 años,29 de abril de 1982,carlos martins
39 años,29 de diciembre de 1982,diego mainz
34 años,10 de mayo de 1988,nyom
41 años,20 de febrero de 1981,moises hurtado
38 años,21 de junio de 1984,pape malickou diakhate
38 años,14 de mayo de 1984,hassan yebda
34 años,15 de julio de 1988,franco jara
35 años,7 de abril de 1987,dani benitez
37 años,24 de septiembre de 1985,mikel gonzalez
37 años,24 de septiembre de 1985,mikel gonza¡lez
56 años,1 de junio de 1966,abel
34 años,3 de agosto de 1988,jeffrey sarpong
35 años,3 de agosto de 1987,fran rico
NA,NA,pablo cendra³s
35 años,1 de abril de 1987,pablo cendros
46 años,17 de julio de 1976,marcos senna
35 años,17 de marzo de 1987,federico fazio
36 años,18 de enero de 1986,emiliano armenteros
35 años,7 de abril de 1987,marta­n ca¡ceres
43 años,14 de mayo de 1979,mickael landreau
34 años,25 de abril de 1988,cheick diabataa©
30 años,27 de septiembre de 1992,luc castaignos
42 años,26 de octubre de 1980,cristian chivu
37 años,2 de febrero de 1985,paolo hernan dellafiore
38 años,2 de agosto de 1984,giampaolo pazzini
31 años,22 de mayo de 1991,joel obi
35 años,19 de abril de 1987,luigi giorgi
41 años,11 de junio de 1981,emiliano moretti
39 años,14 de enero de 1983,cesare bovo
38 años,4 de febrero de 1984,pablo ledesma
34 años,4 de junio de 1988,lucas pratto
43 años,5 de noviembre de 1979,david suazo
30 años,26 de junio de 1992,joel campbell
29 años,27 de enero de 1993,yaya sanogo
40 años,12 de agosto de 1982,alexandros tzorvas
33 años,1 de abril de 1989,matias aguirregaray
38 años,25 de septiembre de 1984,mata­as silvestre
38 años,11 de marzo de 1984,gabriele perico
68 años,11 de mayo de 1954,gregory
38 años,27 de mayo de 1984,ivan cuellar
42 años,25 de enero de 1980,paulo assuncao
34 años,27 de abril de 1988,damia¡n sua¡rez
30 años,8 de enero de 1992,koke
NA,NA,ricardo lea³n
39 años,8 de febrero de 1983,ricardo leon
NA,NA,iva¡n cua©llar
42 años,23 de octubre de 1980,mate bilic
34 años,4 de julio de 1988,david meza
35 años,2 de marzo de 1987,mobido diakita©
35 años,25 de mayo de 1987,jackson mendy
45 años,19 de febrero de 1977,gianluca zambrotta
46 años,1 de abril de 1976,clarence seedorf
30 años,27 de octubre de 1992,stephan el shaarawy
36 años,16 de junio de 1986,urby emanuelson
45 años,8 de julio de 1977,christian abbiati
33 años,11 de junio de 1989,christian fernandez
37 años,10 de marzo de 1985,lass diarra
29 años,11 de julio de 1993,jairo samperio
62 años,14 de septiembre de 1960,ariel
28 años,10 de agosto de 1994,bernardo
41 años,20 de mayo de 1981,iker casillas
39 años,17 de enero de 1983,alvaro arbeloa
33 años,11 de junio de 1989,christian ferna¡ndez
43 años,31 de mayo de 1979,jeanfrancois gillet
44 años,28 de enero de 1978,gianluigi buffon
NA,NA,gasta³n rama­rez
41 años,31 de mayo de 1981,mikael antonsson
32 años,13 de julio de 1990,jonathan mensah
33 años,22 de junio de 1989,cedric mongongu
NA,NA,ca©dric mongongu
42 años,1 de marzo de 1980,djimi traore
34 años,6 de marzo de 1988,borja ekiza
NA,NA,jese gamez
NA,NA,jesaus gamez
41 años,28 de septiembre de 1981,willy caballero
42 años,19 de agosto de 1980,carlos gurpegi
NA,NA,joaquaa­n
NA,NA,aascar de marcos
38 años,23 de julio de 1984,walter gargano
33 años,21 de febrero de 1989,federico fernandez
33 años,4 de julio de 1989,ignacio fideleff
35 años,31 de julio de 1987,michael bradley
36 años,14 de diciembre de 1985,juan zuniga
43 años,22 de agosto de 1979,giuseppe mascara
45 años,26 de marzo de 1977,morgan de sanctis
43 años,28 de marzo de 1979,stefano sorrentino
38 años,24 de enero de 1984,emerse fae
NA,NA,emerse faa©
37 años,26 de octubre de 1985,kafoumba coulibaly
36 años,25 de julio de 1986,abraham guie guie
41 años,14 de abril de 1981,raul bravo
31 años,5 de enero de 1991,dani pacheco
34 años,23 de mayo de 1988,lorenzo de silvestri
39 años,1 de junio de 1983,abderazak jadid
42 años,31 de octubre de 1980,massimo gobbi
42 años,20 de febrero de 1980,artur boruc
47 años,5 de julio de 1975,hernan crespo
35 años,22 de mayo de 1987,romulo
35 años,29 de abril de 1987,thomas mangani
25 años,5 de abril de 1997,helder ferreira
38 años,23 de abril de 1984,jogook jung
40 años,7 de mayo de 1982,jose saez
32 años,8 de febrero de 1990,yacine brahimi
41 años,11 de mayo de 1981,daisuke matsui
44 años,9 de octubre de 1978,oscar ewolo
32 años,30 de diciembre de 1989,dialo guidileye
38 años,17 de diciembre de 1983,gregory lorenzi
38 años,17 de diciembre de 1983,gra©gory lorenzi
36 años,20 de junio de 1986,daniele capelli
42 años,27 de marzo de 1980,gianpaolo bellini
36 años,20 de junio de 1986,luca cigarini
37 años,5 de enero de 1985,sergio rodriguez
57 años,3 de noviembre de 1965,juanma
42 años,16 de abril de 1980,matteo contini
42 años,31 de agosto de 1980,emanuele pesoli
36 años,7 de noviembre de 1986,andrea rossi
36 años,17 de junio de 1986,ernesto galan
31 años,4 de junio de 1991,zhi gin lam
39 años,3 de mayo de 1983,romeo castelen
46 años,13 de enero de 1976,mario yepes
38 años,21 de marzo de 1984,guillermo rodriguez
34 años,15 de abril de 1988,raphael martinho
37 años,16 de abril de 1985,taye taiwo
38 años,21 de marzo de 1984,guillermo rodra­guez
49 años,9 de agosto de 1973,filippo inzaghi
NA,NA,bakari kona©
42 años,26 de junio de 1980,remy vercoutre
42 años,13 de febrero de 1980,sebastian kehl
35 años,25 de septiembre de 1987,nicolai muller
38 años,13 de noviembre de 1984,lucas barrios
30 años,8 de diciembre de 1992,moritz leitner
33 años,24 de enero de 1989,samba diakita©
44 años,20 de enero de 1978,salvatore aronica
44 años,22 de marzo de 1978,arnaud le lan
38 años,10 de enero de 1984,nando rafael
47 años,18 de noviembre de 1975,altin lala
32 años,22 de mayo de 1990,daniel royer
30 años,19 de agosto de 1992,catala
30 años,3 de enero de 1992,jon aurtenetxe
30 años,22 de enero de 1992,vincent aboubakar
NA,NA,ja©ra©my menez
37 años,22 de enero de 1985,mohamed sissoko
29 años,25 de abril de 1993,raphael varane
37 años,4 de septiembre de 1985,raul albiol
42 años,16 de junio de 1980,martin stranzl
36 años,16 de febrero de 1986,diego godin
35 años,24 de febrero de 1987,mario sua¡rez
NA,NA,diego goda­n
35 años,2 de febrero de 1987,gerard pique
41 años,13 de septiembre de 1981,antonio lopez
NA,NA,antonio la³pez
37 años,5 de agosto de 1985,gil vermouth
42 años,5 de noviembre de 1980,christoph metzelder
37 años,13 de febrero de 1985,hedwiges maduro
35 años,12 de junio de 1987,antonio barragan
38 años,17 de octubre de 1984,giovanni marchese
39 años,31 de enero de 1983,fabio quagliarella
32 años,2 de diciembre de 1990,emmanuel badu
32 años,31 de julio de 1990,diego fabbrini
34 años,22 de diciembre de 1987,nacho cases
37 años,14 de febrero de 1985,christoph janker
NA,NA,ja©ra©my clement
31 años,20 de marzo de 1991,mattia destro
39 años,31 de julio de 1983,ferreira reginaldo
39 años,27 de julio de 1983,lorik cana
39 años,7 de febrero de 1983,federico marchetti
44 años,31 de enero de 1978,simone tiribocchi
43 años,30 de marzo de 1979,sta©phane grichting
53 años,1 de junio de 1969,luis garca­a
36 años,3 de abril de 1986,sergio sanchez
40 años,14 de marzo de 1982,maurizio lanzaro
NA,NA,ruba©n sua¡rez
NA,NA,javi la³pez
NA,NA,miguel pallarda³
39 años,8 de julio de 1983,antonio mirante
44 años,18 de enero de 1978,bogdan lobont
36 años,19 de febrero de 1986,marta­
40 años,2 de julio de 1982,diego castro
40 años,2 de marzo de 1982,inaki goitia
34 años,16 de agosto de 1988,javier matilla
33 años,19 de junio de 1989,abde barrada
NA,NA,bea±at
28 años,12 de septiembre de 1994,vadillo
40 años,27 de abril de 1982,jordi codina
30 años,21 de abril de 1992,isco
33 años,14 de febrero de 1989,adam matuschyk
37 años,24 de octubre de 1985,oscar wendt
33 años,6 de enero de 1989,rafa garcia
59 años,23 de marzo de 1963,michel
34 años,14 de junio de 1988,livio nabab
44 años,30 de marzo de 1978,edouard cissa©
32 años,15 de mayo de 1990,pedro bigas
37 años,7 de junio de 1985,dejan lekic
43 años,13 de septiembre de 1979,manuel friedrich
43 años,23 de septiembre de 1979,fabio simplicio
33 años,5 de septiembre de 1989,josa© angel
NA,NA,ia±igo la³pez
40 años,11 de marzo de 1982,alexandre geijo
33 años,18 de julio de 1989,yohan mollo
40 años,23 de julio de 1982,inigo lopez
32 años,26 de diciembre de 1989,sofiane feghouli
32 años,31 de julio de 1990,jaime romero
31 años,15 de noviembre de 1991,nicolas isimatmirin
30 años,19 de agosto de 1992,catala¡
33 años,25 de febrero de 1989,hernan perez
41 años,11 de septiembre de 1981,gerard bordas
39 años,24 de julio de 1983,etienne didot
45 años,13 de abril de 1977,bertrand laquait
34 años,12 de abril de 1988,ricardo alvarez
41 años,26 de julio de 1981,maicon
35 años,4 de junio de 1987,cristian chavez
35 años,2 de febrero de 1987,gerard piqua©
30 años,13 de mayo de 1992,thievy bifouma
40 años,22 de abril de 1982,kaka¡
34 años,17 de enero de 1988,ha©ctor moreno
36 años,11 de mayo de 1986,javier ma¡rquez
34 años,10 de enero de 1988,juan forlin
33 años,2 de mayo de 1989,cristian alfonso
38 años,19 de mayo de 1984,jesus datolo
43 años,24 de noviembre de 1979,joseba llorente
34 años,17 de marzo de 1988,davide brivio
46 años,14 de junio de 1976,massimo oddo
46 años,20 de octubre de 1976,nicola legrottaglie
41 años,19 de enero de 1981,asier del horno
31 años,20 de septiembre de 1991,alex pozuelo
44 años,29 de marzo de 1978,farinos
41 años,31 de mayo de 1981,daniele bonera
36 años,13 de marzo de 1986,henry gimenez
38 años,1 de noviembre de 1984,damiano ferronetti
39 años,11 de febrero de 1983,federico agliardi
29 años,2 de junio de 1993,billel omrani
38 años,20 de julio de 1984,larsen toure
38 años,22 de junio de 1984,andrea mantovani
39 años,24 de marzo de 1983,luca ceccarelli
41 años,11 de enero de 1981,jaime valdes
38 años,1 de marzo de 1984,bosko jankovic
42 años,17 de agosto de 1980,manuele blasi
43 años,5 de noviembre de 1979,patrick owomoyela
27 años,5 de julio de 1995,kone
33 años,1 de abril de 1989,florin berenguer
38 años,6 de agosto de 1984,vedad ibisevic
40 años,8 de diciembre de 1982,hamit altintop
40 años,15 de julio de 1982,momo
44 años,8 de agosto de 1978,alexander bugera
31 años,16 de mayo de 1991,gueida fofana
36 años,11 de julio de 1986,yoann gourcuff
29 años,17 de agosto de 1993,ederson
39 años,28 de junio de 1983,reynald lemaa®tre
31 años,19 de marzo de 1991,yohandry orozco
30 años,11 de abril de 1992,bjarne thoelke
32 años,29 de marzo de 1990,wilson kamavuaka
36 años,14 de octubre de 1986,mike frantz
42 años,13 de julio de 1980,cedric hengbart
31 años,11 de marzo de 1991,kossi prince segbefia
32 años,29 de enero de 1990,grzegorz krychowiak
32 años,1 de julio de 1990,vujadin savic
35 años,13 de abril de 1987,fabian monzon
34 años,28 de noviembre de 1988,lloyd palun
NA,NA,fabia¡n monza³n
40 años,27 de noviembre de 1982,david bellion
35 años,14 de octubre de 1987,toma¡s pina
33 años,16 de abril de 1989,daniel parejo
32 años,12 de mayo de 1990,alfredo morales
32 años,1 de mayo de 1990,diego contento
39 años,13 de marzo de 1983,mariano izco
38 años,27 de agosto de 1984,sulley ali muntari
47 años,19 de julio de 1975,luca castellazzi
46 años,11 de agosto de 1976,ivan cordoba
38 años,25 de enero de 1984,robinho
38 años,23 de febrero de 1984,albin ebondo
33 años,31 de mayo de 1989,daniel wass
30 años,22 de febrero de 1992,alexander merkel
41 años,11 de noviembre de 1981,massimiliano benassi
36 años,7 de agosto de 1986,valter birsa
36 años,26 de febrero de 1986,nacho monreal
40 años,26 de marzo de 1982,andreas hinkel
45 años,28 de junio de 1977,davide mandelli
35 años,11 de mayo de 1987,tomoaki makino
43 años,17 de agosto de 1979,julien escuda©
35 años,26 de julio de 1987,luis moran
36 años,2 de diciembre de 1986,nicolo cherubin
NA,NA,nicolas cherubin
48 años,2 de diciembre de 1974,alberto maria fontana
43 años,6 de marzo de 1979,arnaud maire
29 años,1 de mayo de 1993,jean christophe bahebeck
21 años,2 de enero de 2001,neuton
33 años,9 de agosto de 1989,guido marilungo
39 años,18 de junio de 1983,floro flores
31 años,29 de septiembre de 1991,adem ljajic
30 años,15 de marzo de 1992,joseph romeric lopy
NA,NA,ca©dric bakambu
45 años,12 de julio de 1977,marco da silva
35 años,29 de noviembre de 1987,sandro wagner
38 años,20 de julio de 1984,larsen toura©
NA,NA,va­ctor valda©s
22 años,24 de julio de 2000,campaa±a
34 años,19 de abril de 1988,diego buonanotte
34 años,2 de abril de 1988,andra© castro
38 años,4 de noviembre de 1984,mikel rico
30 años,24 de febrero de 1992,yunus malli
35 años,21 de septiembre de 1987,marcelo estigarribia
45 años,7 de enero de 1977,marco storari
NA,NA,juan forla­n
35 años,22 de septiembre de 1987,raul rodra­guez
36 años,18 de febrero de 1986,marc torrejon
35 años,22 de septiembre de 1987,raul rodriguez
NA,NA,marc torreja³n
33 años,8 de enero de 1989,dominique malonga
29 años,26 de agosto de 1993,marko livaja
53 años,14 de septiembre de 1969,francesco antonioli
32 años,18 de abril de 1990,damjan djokovic
40 años,28 de agosto de 1982,thiago motta
34 años,8 de julio de 1988,santiago garcia
48 años,8 de mayo de 1974,matteo centurioni
39 años,18 de junio de 1983,antonio floro flores
33 años,21 de febrero de 1989,federico ferna¡ndez
NA,NA,nenaª
33 años,11 de junio de 1989,lorenzo ariaudo
NA,NA,juan zua±iga
36 años,22 de octubre de 1986,stefan radu
44 años,16 de mayo de 1978,lionel scaloni
38 años,10 de octubre de 1984,daniele vantaggiato
38 años,7 de agosto de 1984,angel lafita castillo
35 años,27 de mayo de 1987,canas
30 años,4 de marzo de 1992,erik lamela
